Oscar,03.11.2024,9.56,Walter
Ella,17.04.2024,4.95,Bus
Noah,01.04.2024,5.57,Bus
Jan,30.11.2024,2.56,Walter
Nico,18.09.2023,23.0,Werkstatt
Jonas,14.10.2024,12.36,Bücher
leNA,09.04.2024,32.1,Bus
Timo,29.10.2024,37.61,Werkstatt
Finn,22.10.2024,7.54,Werkstatt
Leonie,04.10.2023,25.0,Werkstatt
Tom,16.09.2024,6.75,Werkstatt
Lars,09.11.2024,14.56,Bücher
Emma,22.09.2023,42.0,Werkstatt
Sophie,26.11.2024,2.67,Kino
Lina,05.10.2024,3.56,Walter
Tom,11.01.2024,24.55,Kino
Mia,13.10.2024,10.56,Kopierkosten
Hannah,29.07.2024,13.49,Werkstatt
Isabella,30.11.2024,16.79,Kino
Lina,25.12.2023,20.97,Kopierkosten
Leonie,06.11.2023,20.0,Kopierkosten
Emilia,10.09.2024,7.32,Kino
Ella,28.11.2024,41.69,Bücher
Erik,18.03.2024,22.42,Kino
Hanna,05.05.2024,37.0,Bus
Anna,15.10.2024,8.73,Walter
Felix,24.09.2024,4.21,Kino
lEna,21.09.2024,41.0,Bus
Adrian,19.10.2023,32.3,Kino
Liam,05.11.2024,19.21,Kopierkosten
Sophia,17.09.2024,9.43,Bus
Sophia,01.11.2023,24.88,Bus
lEna,15.11.2024,16.32,Bus
lEna,22.09.2024,23.27,Werkstatt
Leena,07.11.2024,3.67,Walter
Anna,30.09.2023,18.92,Kopierkosten
Benjamin,19.03.2024,10.12,Kopierkosten
Clara,24.09.2024,37.17,Werkstatt
Laura,30.04.2024,8.77,Bus
Amelia,11.09.2023,8.96,Bücher
Alexander,19.09.2024,4.92,Walter
Lea,30.04.2024,10.39,Walter
Maximilian,05.10.2023,21.3,Kino
Julian,17.03.2024,5.45,Kino
Ella,21.05.2024,35.7,Bus
Erik,05.11.2024,18.21,Kopierkosten
Max,18.04.2024,19.38,Werkstatt
Sophie,10.09.2024,10.98,Kino
Finn,24.03.2024,24.45,Kopierkosten
Oscar,25.07.2024,27.63,Kopierkosten
Paul,28.05.2024,15.07,Kino
Finn,02.12.2023,29.06,Kino
Julian,16.04.2024,22.9,Bücher
LENA,26.02.2024,13.53,Walter
Luca,10.01.2024,5.87,Bus
Jan,29.04.2024,40.77,Bus
Emma,21.11.2024,7.34,Bus
LENA,18.05.2024,39.66,Bus
Nina,09.06.2024,27.53,Kopierkosten
Sophie,29.12.2023,36.08,Bus
Noah,01.10.2024,4.89,Kopierkosten
Emilia,16.06.2024,33.22,Bus
Luca,17.09.2024,14.89,Werkstatt
Lukas,18.10.2024,3.49,Werkstatt
Ella,13.08.2024,32.19,Kino
Clara,02.02.2024,39.36,Werkstatt
Sarah,08.11.2023,18.5,Kopierkosten
Lea,01.01.2024,2.54,Kopierkosten
Laura,27.09.2024,9.67,Kino
Timothy,03.10.2024,13.02,Bus
Liam,20.09.2024,13.27,Kino
Lea,04.11.2024,8.62,Bus
Paul,02.10.2023,15.53,Walter
Alexander,22.09.2024,5.32,Bus
Julian,05.11.2024,18.64,Werkstatt
Marius,02.06.2024,23.03,Bücher
Luca,26.11.2024,5.67,Bus
Clara,21.10.2024,5.78,Werkstatt
Leena,10.06.2024,21.96,Werkstatt
Isabella,12.06.2024,27.67,Bücher
Lukas,02.04.2024,7.32,Werkstatt
Simon,18.01.2024,10.26,Kopierkosten
Noah,12.10.2024,7.34,Walter
Lukas,15.09.2023,2.5,Kino
lEna,25.08.2024,12.45,Werkstatt
Lena,22.04.2024,29.66,Kopierkosten
Erik,21.08.2024,22.86,Werkstatt
Jonas,28.07.2024,29.57,Bus
Sophie,13.09.2024,8.54,Werkstatt
Amelia,11.11.2024,6.51,Werkstatt
Sophie,06.05.2024,35.69,Walter
Sophie,22.11.2024,5.67,Werkstatt
lEna,07.11.2024,40.57,Kino
Tim,10.11.2024,14.27,Kopierkosten
Timo,05.11.2023,9.92,Kopierkosten
Julian,30.08.2024,29.32,Walter
Max,22.09.2024,16.45,Bücher
lena,16.04.2024,24.56,Bücher
Felix,15.01.2024,8.64,Bus
Paul,11.01.2024,14.27,Werkstatt
Amelia,14.07.2024,40.96,Bücher
Adrian,20.09.2024,37.61,Walter
Maximilian,09.06.2024,34.44,Werkstatt
Anna,16.11.2024,3.22,Werkstatt
Jonas,26.11.2024,5.21,Kopierkosten
LeNa,23.05.2024,15.21,Werkstatt
Paul,01.02.2024,40.25,Bücher
Anton,27.03.2024,38.46,Bücher
Sophie,15.10.2024,8.99,Kopierkosten
Jonas,17.03.2024,16.44,Bücher
Anton,01.06.2024,31.04,Kopierkosten
Oscar,31.12.2023,27.23,Kino
Luca,25.10.2023,38.73,Kopierkosten
Jana,02.11.2023,20.67,Bus
Leena,30.05.2024,37.94,Werkstatt
Tom,17.03.2024,15.33,Kino
Lena,29.11.2023,33.58,Kino
leNA,26.09.2024,6.89,Kino
Sophia,22.09.2023,15.0,Werkstatt
Amelia,11.11.2024,6.51,Werkstatt
Amelia,31.07.2024,15.84,Kino
David,21.08.2024,10.72,Kopierkosten
Vincent,17.01.2024,17.4,Bus
Erik,17.11.2024,14.32,Werkstatt
Nina,09.11.2024,14.82,Walter
Julian,27.11.2024,41.04,Bücher
Jonas,28.07.2024,14.14,Werkstatt
Liam,19.10.2024,11.45,Bus
Sophie,02.11.2024,5.62,Kopierkosten
Ben,29.09.2024,7.45,Walter
Benjamin,25.11.2024,15.78,Werkstatt
Julian,05.11.2024,18.64,Werkstatt
Laura,28.10.2024,3.21,Werkstatt
Mia,29.09.2024,2.11,Kino
Tom,23.02.2024,28.35,Kino
Sophia,17.09.2024,9.43,Bus
Max,30.11.2024,7.89,Walter
Leon,28.11.2024,3.45,Bus
Luca,14.09.2024,12.34,Kopierkosten
Paul,06.05.2024,17.49,Kopierkosten
Julian,03.11.2024,11.23,Bus
Lina,14.11.2023,9.99,Kino
Adrian,02.10.2023,7.1,Kino
Mila,20.10.2024,11.92,Bücher
Laura,05.11.2023,20.0,Kopierkosten
Julia,03.11.2024,2.34,Walter
Jana,22.09.2023,8.2,Bus
Felix,14.10.2023,21.4,Kino
LENA,08.11.2024,18.76,Werkstatt
Tim,17.02.2024,29.29,Kopierkosten
Jan,21.10.2023,26.13,Bücher
Timothy,13.10.2024,7.89,Kopierkosten
leNa,18.09.2023,9.4,Kopierkosten
Anton,24.10.2024,12.67,Werkstatt
lEna,07.01.2024,25.43,Bücher
Leena,01.02.2024,16.0,Bücher
LenA,05.09.2024,23.42,Bücher
Oscar,19.01.2024,13.03,Walter
Tim,10.11.2024,14.27,Kopierkosten
Jana,17.10.2023,22.2,Bus
LenA,24.10.2023,3.0,Kino
Timothy,17.10.2024,9.03,Werkstatt
Mara,11.10.2024,13.41,Walter
Lea,06.07.2024,35.42,Bücher
LENA,25.11.2023,37.75,Bus
Clara,29.01.2024,2.79,Bücher
Isabella,01.11.2024,40.42,Bücher
Lars,17.06.2024,6.72,Kino
Laura,14.01.2024,9.55,Bücher
Laura,08.05.2024,12.89,Bücher
leNa,02.12.2023,30.51,Werkstatt
Sophia,20.11.2023,2.0,Kino
Leena,29.11.2024,20.9,Kopierkosten
Jonas,16.08.2024,29.2,Werkstatt
Liam,30.04.2024,22.04,Walter
Paul,14.11.2024,11.92,Walter
lena,28.09.2023,38.41,Kopierkosten
LeNa,28.01.2024,12.07,Kino
Mia,29.09.2024,2.11,Kino
Anna,15.10.2024,8.73,Walter
Anna,10.11.2023,30.89,Kino
Erik,26.09.2024,36.5,Bus
Laura,28.10.2024,3.21,Werkstatt
Sarah,11.09.2023,3.2,Kopierkosten
Isabel,22.05.2024,12.42,Kopierkosten
Sophia,12.11.2024,12.54,Werkstatt
Vincent,19.09.2024,10.56,Werkstatt
Lena,18.07.2024,36.01,Werkstatt
Max,24.09.2024,8.73,Kino
Finn,09.08.2024,27.04,Kino
Sophie,23.04.2024,36.79,Bücher
LeNa,21.04.2024,17.77,Kino
Leon,21.10.2024,2.76,Walter
Julia,06.11.2024,26.88,Kino
Mia,07.11.2024,19.45,Walter
Hanna,27.04.2024,21.01,Werkstatt
Leonie,19.01.2024,10.53,Walter
Liam,03.10.2023,36.81,Bus
Janina,02.10.2023,10.0,Walter
Lukas,28.07.2024,34.67,Bücher
Felix,18.09.2024,12.89,Bus
Jan,25.10.2024,26.1,Bücher
Anton,07.10.2023,21.28,Bus
Lea,27.09.2024,9.45,Kino
Elias,04.10.2024,8.21,Bus
Leonie,28.09.2024,38.34,Bus
Lukas,29.11.2024,3.45,Kopierkosten
Mila,06.08.2024,13.99,Werkstatt
Clara,23.11.2023,20.4,Werkstatt
Laura,22.08.2024,13.4,Bücher
Mia,09.11.2024,11.45,Kino
Laura,16.09.2023,2.87,Werkstatt
Amelia,18.04.2024,3.14,Walter
Sarah,02.04.2024,13.53,Kino
lena,12.08.2024,26.15,Bücher
Felix,11.11.2023,10.5,Walter
Sophie,05.11.2024,19.67,Kopierkosten
Emily,23.10.2024,7.89,Bus
Isabel,20.10.2024,3.98,Bus
Max,22.09.2024,16.45,Bücher
Emma,01.11.2024,6.32,Kopierkosten
Hanna,25.09.2024,14.54,Werkstatt
Jonas,21.09.2023,3.0,Bus
Janina,16.09.2023,7.49,Werkstatt
Leon,12.11.2023,37.85,Kopierkosten
Lea,09.01.2024,5.14,Walter
Mara,25.09.2024,16.54,Bus
Jonas,25.11.2024,29.09,Kino
Sophie,10.09.2024,10.98,Kino
Nina,30.03.2024,6.64,Werkstatt
Paul,13.08.2024,37.78,Bücher
